"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"1","Core",1,"hosts",0.391268137993968,0.0489912699569034,0.343886492895628,3.5,0.01,0.1,0.125211498713086
"2","Core",1,"parasites",0.352767518791247,0.0286073910050598,0.669158580149361,2.16666666666667,0.01,0.1,0.0810941752888209
"3","Core",2,"hosts",0.373241337388348,0.0476770885281273,0.396353537047427,1.33333333333333,0.01,0.1,0.12773796402546
"4","Core",2,"parasites",0.341899695876805,0.0335334243036279,0.859559746422152,2.2,0.01,0.1,0.0980797137523951
"5","Core",3,"hosts",0.245780941753806,NA,0.170896882628277,2,0.01,0.1,NA
"6","Core",3,"parasites",0.382258756254506,0.0265799699690921,0.562434235146334,2,0.01,0.1,0.0695339728238828
"7","Core",4,"hosts",0.393300520387692,0.0342966813652381,0.632444734995828,1.8,0.01,0.1,0.087202227272495
"8","Core",5,"hosts",0.236384859508667,0.0298216292839321,0.408631150258353,2.66666666666667,0.01,0.1,0.12615710391062
"9","Core",5,"parasites",0.364087448693272,0.0386322776091948,0.644174044924642,4.8,0.01,0.1,0.106107139226711
"10","Core",6,"hosts",0.376305198838376,0.0505786157577487,0.395593076207826,0.75,0.01,0.1,0.134408495853581
"11","Core",7,"hosts",0.227470645493247,NA,0.280294731046098,1,0.01,0.1,NA
"12","Core",8,"hosts",0.339142605921758,0.0227695467714728,0.678691960681229,0.75,0.01,0.1,0.0671385616961553
"13","Core",9,"hosts",0.257812969279499,0.0822887974265545,0.536615376426976,1,0.01,0.1,0.319180209034961
"14","Core",10,"hosts",0.329827881234999,0.02896837622812,0.803789339508812,1,0.01,0.1,0.0878287672941763
"15","Core",10,"parasites",0.362186818020702,0.0326120022474873,0.474309866772638,1.5,0.01,0.1,0.0900419358874161
"16","Core",11,"hosts",0.369291928047838,0.0318613830268375,0.281550912186471,1,0.01,0.1,0.0862769549154894
"17","Core",11,"parasites",0.353196293180269,0.0425450108643114,0.826757481115661,4,0.01,0.1,0.120457127341925
"18","Core",12,"hosts",0.214565169825623,0.0289086208287134,0.19277636025909,4.5,0.01,0.1,0.134731190771585
