"","Land_use","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr","parasite_species","ZoonoticStatus","ParGroup","Count","Degree"
"1","Core",0.352767518791247,0.0286073910050598,0.669158580149361,2.16666666666667,0.01,0.1,0.0810941752888209,"araraquara_virus","Zoonotic","RNA_virus",5,3
"2","Core",0.341899695876805,0.0335334243036279,0.859559746422152,2.2,0.01,0.1,0.0980797137523951,"coxiella_burnetii","Zoonotic","Bacteria",5,3
"3","Core",0.382258756254506,0.0265799699690921,0.562434235146334,2,0.01,0.1,0.0695339728238828,"juquitiba_virus","Zoonotic","RNA_virus",12,3
"4","Core",0.364087448693272,0.0386322776091948,0.644174044924642,4.8,0.01,0.1,0.106107139226711,"vaccinia_virus","Zoonotic","DNA_virus",15,8
"5","Core",0.362186818020702,0.0326120022474873,0.474309866772638,1.5,0.01,0.1,0.0900419358874161,"jabora_hantavirus","Zoonotic","RNA_virus",15,2
"6","Core",0.353196293180269,0.0425450108643114,0.826757481115661,4,0.01,0.1,0.120457127341925,"leptospira_interrogans","Zoonotic","Bacteria",14,5
"7","Core",0.339780144597855,0.0316115788059503,0.765021558805308,2,0.01,0.1,0.0930353915864154,"araucaria_virus","Non-zoonotic","RNA_virus",6,3
"8","Core",0.351116328974946,0.0471916762980514,0.538973501175494,9.4,0.01,0.1,0.134404675612278,"yellow_fever_virus","Zoonotic","RNA_virus",59,15
"9","Core",0.385658403979046,0.0442237119988112,0.214240697405618,3,0.01,0.1,0.114670681469745,"zika_virus","Zoonotic","RNA_virus",5,4
"10","Core",0.388944458977154,0.032614145273551,0.55672166876772,7.83333333333333,0.01,0.1,0.0838529628608663,"rabies_lyssavirus","Zoonotic","RNA_virus",89,12
"11","Core",0.397398792683508,0.0391412255247926,0.442239323966304,3.8,0.01,0.1,0.0984935692946734,"saint_louis_encephalitis_virus","Zoonotic","RNA_virus",12,6
"12","Core",0.322175635552203,0.0490793329617303,0.57924317680949,2.6,0.01,0.1,0.152337196068875,"chikungunya_virus","Zoonotic","RNA_virus",5,4
"13","Core",0.38684633672911,0.0454363003434909,0.548681778953536,4.8,0.01,0.1,0.117453097081562,"escherichia_coli","Zoonotic","Bacteria",9,7
"14","Core",0.344456132070165,0.031225242470913,0.904478478446693,1.2,0.01,0.1,0.0906508538061168,"mycobacterium_leprae","Zoonotic","Bacteria",6,2
"15","Core",0.296916614200507,0.0310375315496257,0.391699170217187,2.2,0.01,0.1,0.104532821894116,"borreliella_burgdorferi","Zoonotic","Bacteria",16,3
"16","Core",0.361859812077737,0.0311681941696856,0.484344740187048,2.25,0.01,0.1,0.0861333398442982,"canine_morbillivirus","Zoonotic","RNA_virus",13,3
"17","Core",0.345361349186501,0.060377040608226,0.381814949962019,1.75,0.01,0.1,0.174822807330479,"ehrlichia_canis","Zoonotic","Bacteria",41,2
"18","Core",0.366108818780693,0.0455839672527069,0.362695268564543,3.2,0.01,0.1,0.124509339612528,"rickettsia_amblyommatis","Non-zoonotic","Bacteria",8,4
"19","Core",0.397351208158871,0.0565695558892885,0.451141877898233,2.33333333333333,0.01,0.1,0.142366638700821,"rickettsia_bellii","Non-zoonotic","Bacteria",14,4
"20","Core",0.404335384599509,0.0473533268500255,0.353583168927865,4.8,0.01,0.1,0.117113981742975,"rickettsia_parkeri","Zoonotic","Bacteria",22,6
"21","Core",0.40396901289881,0.0439955675311812,0.25188511473192,4.2,0.01,0.1,0.108908272977367,"rickettsia_rhipicephali","Non-zoonotic","Bacteria",8,5
"22","Core",0.361330753800489,0.0543675076263894,0.317953231329983,3.8,0.01,0.1,0.15046465614828,"rickettsia_rickettsii","Zoonotic","Bacteria",37,5
"23","Core",0.394192363887348,0.0552869555736833,0.386768698900605,1.33333333333333,0.01,0.1,0.140253745730811,"staphylococcus_aureus","Zoonotic","Bacteria",4,2
"24","Core",0.337650879639055,0.0370641338227752,0.875525140305328,1.66666666666667,0.01,0.1,0.109770582746286,"canine_mastadenovirus_a","Non-zoonotic","DNA_virus",2,2
"25","Core",0.327737868230534,0.0325753734364466,0.965405235547881,1.5,0.01,0.1,0.0993945973113268,"human_adenovirus_sp.","Non-zoonotic","DNA_virus",2,2
"26","Core",0.328508457682245,0.0283025074490578,0.77513809025077,1.8,0.01,0.1,0.086154577719986,"leptospira_kirschneri","Zoonotic","Bacteria",2,2
"27","Core",0.368576561994601,0.036713066632991,0.770213748419994,1.33333333333333,0.01,0.1,0.0996077081904324,"eastern_equine_encephalitis_virus","Zoonotic","RNA_virus",8,2
"28","Core",0.39832886585491,0.0416660618728916,0.634687342231031,1.75,0.01,0.1,0.104602165307468,"bartonella_henselae","Zoonotic","Bacteria",11,2
"29","Core",0.453036722481861,NA,0.249613918144852,1,0.01,0.1,NA,"enterobacter_cloacae","Zoonotic","Bacteria",2,2
"30","Core",0.411625602357589,0.036431968216674,0.516920668765658,1.33333333333333,0.01,0.1,0.0885075369656541,"enterococcus_casseliflavus","Non-zoonotic","Bacteria",2,2
"31","Core",0.411198562204404,0.036386863888391,0.516027400747383,1.33333333333333,0.01,0.1,0.088489764393445,"enterococcus_faecalis","Zoonotic","Bacteria",2,2
"32","Core",0.411858620190964,0.0369453995551353,0.509801342950912,1.33333333333333,0.01,0.1,0.089704082284365,"klebsiella_aerogenes","Zoonotic","Bacteria",2,2
"33","Core",0.372767181856076,0.0471496347273035,0.112747987782918,2.6,0.01,0.1,0.126485476786172,"dengue_virus_1","Zoonotic","RNA_virus",3,3
"34","Core",0.367962761753777,0.0491129512585983,0.117858496406085,2.33333333333333,0.01,0.1,0.133472612892992,"dengue_virus_2","Zoonotic","RNA_virus",3,3
"35","Core",0.367415206246828,0.0519775532229839,0.11270271562732,2.4,0.01,0.1,0.141468160106759,"dengue_virus_3","Zoonotic","RNA_virus",3,3
"36","Core",0.374060084819613,0.0458141565654856,0.110443448218095,2.2,0.01,0.1,0.12247806816271,"dengue_virus_4","Zoonotic","RNA_virus",3,3
"37","Core",0.364292661816837,0.0465131625045361,0.109392622283003,2.33333333333333,0.01,0.1,0.127680756105712,"ilheus_virus","Zoonotic","RNA_virus",3,3
